Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,28.14,3,0.0,13.5072,0.48
Standard Class,Corporate,United States,Edmonds,Washington,98026,West,Technology,Accessories,179.97,3,0.0,86.3856,0.48
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,144.12,3,0.0,69.1776,0.48
Same Day,Consumer,United States,San Francisco,California,94110,West,Technology,Accessories,179.97,3,0.0,86.3856,0.48
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,47.52,9,0.0,22.8096,0.48
First Class,Home Office,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,8.76,2,0.0,4.2048,0.48
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,10.8,5,0.0,5.184,0.48
Same Day,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,6.68,1,0.0,3.2064,0.48
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Paper,20.04,3,0.0,9.6192,0.48
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Second Class,Home Office,United States,Seattle,Washington,98115,West,Furniture,Furnishings,6.16,2,0.0,2.9568,0.48
First Class,Home Office,United States,Murray,Utah,84107,West,Office Supplies,Paper,48.4,5,0.0,23.232,0.48
First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,13.36,2,0.0,6.4128,0.48
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,19.36,2,0.0,9.2928,0.48
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Same Day,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,6.68,1,0.0,3.2064,0.48
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,13.36,2,0.0,6.4128,0.48
Second Class,Consumer,United States,Lake Charles,Louisiana,70601,South,Office Supplies,Binders,17.94,3,0.0,8.6112,0.48
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,13.71,3,0.0,6.5808,0.48
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Labels,3.08,1,0.0,1.4784,0.48
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,19.36,2,0.0,9.2928,0.48
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,17.61,3,0.0,8.4528,0.48
Standard Class,Corporate,United States,Bristol,Connecticut,6010,East,Office Supplies,Binders,3.81,1,0.0,1.8288,0.48
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,631.96,4,0.0,303.3408,0.48
Same Day,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Paper,20.04,3,0.0,9.6192,0.48
Standard Class,Consumer,United States,Lawton,Oklahoma,73505,Central,Office Supplies,Art,3.52,2,0.0,1.6896,0.48
First Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,20.04,3,0.0,9.6192,0.48
Second Class,Consumer,United States,Encinitas,California,92024,West,Technology,Accessories,119.98,2,0.0,57.5904,0.48
Standard Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Home Office,United States,New York City,New York,10035,East,Technology,Machines,2321.9,2,0.0,1114.512,0.48
Same Day,Corporate,United States,New York City,New York,10024,East,Technology,Machines,4643.8,4,0.0,2229.024,0.48
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,13.36,2,0.0,6.4128,0.48
Standard Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Envelopes,26.55,9,0.0,12.744,0.48
Standard Class,Home Office,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,58.32,9,0.0,27.9936,0.48
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,13.96,2,0.0,6.7008,0.48
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,1577.94,3,0.0,757.4112,0.48
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Paper,13.36,2,0.0,6.4128,0.48
Second Class,Consumer,United States,Quincy,Massachusetts,2169,East,Office Supplies,Binders,29.0,5,0.0,13.92,0.48
Standard Class,Home Office,United States,Lake Forest,California,92630,West,Office Supplies,Labels,6.16,2,0.0,2.9568,0.48
First Class,Corporate,United States,Woonsocket,Rhode Island,2895,East,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
Standard Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,9.68,1,0.0,4.6464,0.48
Second Class,Consumer,United States,Arlington,Virginia,22204,South,Office Supplies,Paper,71.28,11,0.0,34.2144,0.48
Second Class,Home Office,United States,Salt Lake City,Utah,84106,West,Office Supplies,Paper,166.44,3,0.0,79.8912,0.48
Same Day,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,28.35,9,0.0,13.608,0.48
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Labels,18.75,5,0.0,9.0,0.48
Standard Class,Consumer,United States,Davis,California,95616,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Binders,22.32,4,0.0,10.7136,0.48
Standard Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Second Class,Consumer,United States,Long Beach,New York,11561,East,Technology,Phones,89.95,5,0.0,43.176,0.48
First Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Labels,51.75,5,0.0,24.84,0.48
Second Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Labels,22.05,7,0.0,10.584,0.48
Second Class,Consumer,United States,Quincy,Massachusetts,2169,East,Technology,Phones,59.97,3,0.0,28.7856,0.48
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Second Class,Home Office,United States,Burlington,Iowa,52601,Central,Office Supplies,Binders,5.4,3,0.0,2.592,0.48
First Class,Home Office,United States,Shelton,Connecticut,6484,East,Office Supplies,Paper,13.36,2,0.0,6.4128,0.48
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,58.32,9,0.0,27.9936,0.48
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Office Supplies,Envelopes,19.4,5,0.0,9.312,0.48
Standard Class,Home Office,United States,Seattle,Washington,98115,West,Technology,Accessories,179.97,3,0.0,86.3856,0.48
Second Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,9.24,3,0.0,4.4352,0.48
Standard Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,5.4,3,0.0,2.592,0.48
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
Standard Class,Consumer,United States,Marietta,Georgia,30062,South,Office Supplies,Binders,5.64,3,0.0,2.7072,0.48
Standard Class,Home Office,United States,Independence,Missouri,64055,Central,Office Supplies,Binders,1577.94,3,0.0,757.4112,0.48
Second Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Binders,45.84,8,0.0,22.0032,0.48
Same Day,Home Office,United States,Lawrence,Indiana,46226,Central,Office Supplies,Binders,10.74,3,0.0,5.1552,0.48
Second Class,Consumer,United States,San Diego,California,92105,West,Furniture,Furnishings,19.92,3,0.0,9.5616,0.48
Standard Class,Home Office,United States,Sandy Springs,Georgia,30328,South,Office Supplies,Labels,15.75,5,0.0,7.56,0.48
Standard Class,Home Office,United States,Paterson,New Jersey,7501,East,Office Supplies,Labels,31.05,3,0.0,14.904,0.48
Second Class,Corporate,United States,Bossier City,Louisiana,71111,South,Office Supplies,Binders,5.64,3,0.0,2.7072,0.48
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
First Class,Corporate,United States,Los Angeles,California,90008,West,Office Supplies,Paper,192.72,11,0.0,92.5056,0.48
First Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,132.79,7,0.0,63.7392,0.48
Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.52,2,0.0,1.6896,0.48
Second Class,Home Office,United States,Burlington,Iowa,52601,Central,Office Supplies,Envelopes,7.28,1,0.0,3.4944,0.48
Standard Class,Consumer,United States,Bloomington,Indiana,47401,Central,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Fasteners,10.23,3,0.0,4.9104,0.48
Standard Class,Corporate,United States,Bangor,Maine,4401,East,Office Supplies,Paper,259.74,13,0.0,124.6752,0.48
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Consumer,United States,Las Vegas,Nevada,89115,West,Office Supplies,Paper,40.08,6,0.0,19.2384,0.48
Second Class,Consumer,United States,Mission Viejo,California,92691,West,Office Supplies,Labels,26.25,7,0.0,12.6,0.48
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Labels,22.05,7,0.0,10.584,0.48
Second Class,Home Office,United States,Danville,California,94526,West,Office Supplies,Art,8.8,5,0.0,4.224,0.48
Standard Class,Consumer,United States,Macon,Georgia,31204,South,Office Supplies,Binders,7.16,2,0.0,3.4368,0.48
Second Class,Corporate,United States,Auburn,New York,13021,East,Office Supplies,Paper,46.96,8,0.0,22.5408,0.48
Standard Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Phones,21.99,1,0.0,10.5552,0.48
Second Class,Corporate,United States,Concord,New Hampshire,3301,East,Office Supplies,Binders,22.92,4,0.0,11.0016,0.48
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Labels,51.75,5,0.0,24.84,0.48
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Paper,20.04,3,0.0,9.6192,0.48
Standard Class,Home Office,United States,Columbia,Maryland,21044,East,Office Supplies,Paper,277.4,5,0.0,133.152,0.48
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,13.96,2,0.0,6.7008,0.48
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,35.88,6,0.0,17.2224,0.48
Second Class,Corporate,United States,Detroit,Michigan,48205,Central,Office Supplies,Paper,144.12,3,0.0,69.1776,0.48
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Fasteners,20.0,4,0.0,9.6,0.48
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,43.68,6,0.0,20.9664,0.48
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,0.48
Standard Class,Corporate,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,213.08,7,0.0,102.2784,0.48
First Class,Corporate,United States,Santa Barbara,California,93101,West,Office Supplies,Labels,31.05,3,0.0,14.904,0.48
First Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,6.16,2,0.0,2.9568,0.48
First Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Envelopes,21.84,3,0.0,10.4832,0.48
Standard Class,Home Office,United States,San Francisco,California,94109,West,Office Supplies,Labels,18.9,6,0.0,9.072,0.48
First Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,13.28,2,0.0,6.3744,0.48
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,0.48
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Office Supplies,Binders,58.34,2,0.0,28.0032,0.48
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Paper,8.0,2,0.0,3.84,0.48
Standard Class,Corporate,United States,Chesapeake,Virginia,23320,South,Office Supplies,Binders,63.96,4,0.0,30.7008,0.48
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,31.05,3,0.0,14.904,0.48
Same Day,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Binders,58.34,2,0.0,28.0032,0.48
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2,0.0,3.4368,0.48
Standard Class,Consumer,United States,Detroit,Michigan,48234,Central,Office Supplies,Binders,146.86,7,0.0,70.4928,0.48
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,166.44,3,0.0,79.8912,0.48
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Labels,9.24,3,0.0,4.4352,0.48
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Labels,31.5,10,0.0,15.12,0.48
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Office Supplies,Paper,13.36,2,0.0,6.4128,0.48
First Class,Consumer,United States,Little Rock,Arkansas,72209,South,Office Supplies,Binders,64.14,3,0.0,30.7872,0.48
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,0.48
Standard Class,Home Office,United States,Superior,Wisconsin,54880,Central,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Labels,9.45,3,0.0,4.536,0.48
Standard Class,Corporate,United States,San Diego,California,92105,West,Technology,Accessories,239.96,4,0.0,115.1808,0.48
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,288.24,6,0.0,138.3552,0.48
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,0.48
Standard Class,Consumer,United States,Omaha,Nebraska,68104,Central,Office Supplies,Paper,17.61,3,0.0,8.4528,0.48
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Labels,31.5,10,0.0,15.12,0.48
Same Day,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Paper,13.36,2,0.0,6.4128,0.48
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,9.24,3,0.0,4.4352,0.48
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,45.36,7,0.0,21.7728,0.48
Standard Class,Corporate,United States,Jackson,Mississippi,39212,South,Office Supplies,Paper,16.0,4,0.0,7.68,0.48
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Labels,9.45,3,0.0,4.536,0.48
Same Day,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Labels,9.45,3,0.0,4.536,0.48
Standard Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Labels,62.1,6,0.0,29.808,0.48
Standard Class,Home Office,United States,Providence,Rhode Island,2908,East,Technology,Copiers,5399.91,9,0.0,2591.9568,0.48
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Office Supplies,Paper,239.5,5,0.0,114.96,0.48
Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,17.3,1,0.0,8.304,0.48
Standard Class,Corporate,United States,Rochester,Minnesota,55901,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,0.48
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Envelopes,14.75,5,0.0,7.08,0.48
Standard Class,Consumer,United States,Baltimore,Maryland,21215,East,Technology,Phones,89.95,5,0.0,43.176,0.48
Standard Class,Corporate,United States,Belleville,New Jersey,7109,East,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Second Class,Consumer,United States,Pomona,California,91767,West,Office Supplies,Labels,18.75,5,0.0,9.0,0.48
Standard Class,Consumer,United States,Arlington,Virginia,22204,South,Office Supplies,Binders,34.6,2,0.0,16.608,0.48
Standard Class,Consumer,United States,Arlington,Virginia,22204,South,Office Supplies,Binders,33.02,2,0.0,15.8496,0.48
Second Class,Home Office,United States,Everett,Massachusetts,2149,East,Office Supplies,Paper,40.08,6,0.0,19.2384,0.48
Standard Class,Home Office,United States,Lawrence,Indiana,46226,Central,Office Supplies,Labels,51.75,5,0.0,24.84,0.48
Standard Class,Home Office,United States,Redmond,Washington,98052,West,Office Supplies,Labels,12.32,4,0.0,5.9136,0.48
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,733.95,7,0.0,352.296,0.48
Standard Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Paper,32.4,5,0.0,15.552,0.48
Second Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,166.44,3,0.0,79.8912,0.48
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Consumer,United States,Oceanside,California,92054,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,37.52,4,0.0,18.0096,0.4799999999999999
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
First Class,Home Office,United States,Newark,Delaware,19711,East,Office Supplies,Binders,69.28,2,0.0,33.2544,0.4799999999999999
Second Class,Corporate,United States,Saint Louis,Missouri,63116,Central,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Home Office,United States,Columbia,South Carolina,29203,South,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Second Class,Consumer,United States,Marion,Iowa,52302,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
First Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Home Office,United States,Lawrence,Indiana,46226,Central,Office Supplies,Binders,104.9,5,0.0,50.352,0.4799999999999999
Same Day,Corporate,United States,Riverside,California,92503,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,Pine Bluff,Arkansas,71603,South,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Corporate,United States,Bakersfield,California,93309,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Envelopes,11.8,4,0.0,5.664,0.4799999999999999
Standard Class,Corporate,United States,Roswell,Georgia,30076,South,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.84,8,0.0,24.8832,0.4799999999999999
Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
First Class,Consumer,United States,Lafayette,Louisiana,70506,South,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,Renton,Washington,98059,West,Office Supplies,Paper,51.84,8,0.0,24.8832,0.4799999999999999
Same Day,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
First Class,Consumer,United States,East Orange,New Jersey,7017,East,Office Supplies,Binders,79.95,5,0.0,38.376,0.4799999999999999
Standard Class,Home Office,United States,Rome,New York,13440,East,Office Supplies,Paper,99.9,5,0.0,47.952,0.4799999999999999
Same Day,Consumer,United States,Milford,Connecticut,6460,East,Office Supplies,Paper,51.84,8,0.0,24.8832,0.4799999999999999
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,Stockton,California,95207,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Binders,138.56,4,0.0,66.5088,0.4799999999999999
Standard Class,Consumer,United States,Troy,New York,12180,East,Furniture,Furnishings,40.2,3,0.0,19.296,0.4799999999999999
Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Corporate,United States,Caldwell,Idaho,83605,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
First Class,Consumer,United States,East Orange,New Jersey,7017,East,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,Roswell,Georgia,30076,South,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Consumer,United States,Royal Oak,Michigan,48073,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,75.04,8,0.0,36.0192,0.4799999999999999
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,Belleville,New Jersey,7109,East,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Corporate,United States,Pasadena,California,91104,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Same Day,Consumer,United States,Des Moines,Iowa,50315,Central,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
First Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Consumer,United States,Broken Arrow,Oklahoma,74012,Central,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Corporate,United States,Woodbury,Minnesota,55125,Central,Office Supplies,Binders,32.34,3,0.0,15.5232,0.4799999999999999
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Second Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,6.48,1,0.0,3.1104,0.4799999999999999
Standard Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
First Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.4799999999999999
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Office Supplies,Fasteners,17.05,5,0.0,8.184,0.4799999999999999
First Class,Consumer,United States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67.0,5,0.0,32.16,0.4799999999999999
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
First Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,12.96,2,0.0,6.2208,0.4799999999999999
